order_id,product,quantity_ordered,price_each,order_date,purchase_address,city,state,total_amount,day_of_week,hour,order_day
176570,AA Batteries (4-pack),1,3.84,2019-04-22 15:09:00,"186 12th St, Dallas, TX 75001",Dallas,TX,3.84,Monday,15,2019-04-22
176571,Lightning Charging Cable,1,14.95,2019-04-19 14:29:00,"253 Johnson St, Atlanta, GA 30301",Atlanta,GA,14.95,Friday,14,2019-04-19
176572,Apple Airpods Headphones,1,150.0,2019-04-04 20:30:00,"149 Dogwood St, New York City, NY 10001",New York City,NY,150.0,Thursday,20,2019-04-04
176573,USB-C Charging Cable,1,11.95,2019-04-27 18:41:00,"214 Chestnut St, San Francisco, CA 94016",San Francisco,CA,11.95,Saturday,18,2019-04-27
176574,Google Phone,1,600.0,2019-04-03 19:42:00,"20 Hill St, Los Angeles, CA 90001",Los Angeles,CA,600.0,Wednesday,19,2019-04-03
176574,USB-C Charging Cable,1,11.95,2019-04-03 19:42:00,"20 Hill St, Los Angeles, CA 90001",Los Angeles,CA,11.95,Wednesday,19,2019-04-03
176575,AAA Batteries (4-pack),1,2.99,2019-04-27 00:30:00,"433 Hill St, New York City, NY 10001",New York City,NY,2.99,Saturday,0,2019-04-27
176576,Apple Airpods Headphones,1,150.0,2019-04-28 11:42:00,"771 Ridge St, Los Angeles, CA 90001",Los Angeles,CA,150.0,Sunday,11,2019-04-28
176577,Apple Airpods Headphones,1,150.0,2019-04-04 19:25:00,"260 Spruce St, Dallas, TX 75001",Dallas,TX,150.0,Thursday,19,2019-04-04
176578,Apple Airpods Headphones,1,150.0,2019-04-09 23:35:00,"513 Church St, Boston, MA 02215",Boston,MA,150.0,Tuesday,23,2019-04-09
176579,AA Batteries (4-pack),1,3.84,2019-04-11 10:23:00,"886 Jefferson St, New York City, NY 10001",New York City,NY,3.84,Thursday,10,2019-04-11
176580,USB-C Charging Cable,1,11.95,2019-04-05 00:35:00,"886 Willow St, Los Angeles, CA 90001",Los Angeles,CA,11.95,Friday,0,2019-04-05
176581,iPhone,1,700.0,2019-04-09 21:38:00,"84 Jackson St, Boston, MA 02215",Boston,MA,700.0,Tuesday,21,2019-04-09
176582,Bose SoundSport Headphones,1,99.99,2019-04-27 12:20:00,"178 Lincoln St, Atlanta, GA 30301",Atlanta,GA,99.99,Saturday,12,2019-04-27
176583,AAA Batteries (4-pack),2,2.99,2019-04-20 12:00:00,"146 Jackson St, Portland, OR 97035",Portland,OR,5.98,Saturday,12,2019-04-20
176584,Flatscreen TV,1,300.0,2019-04-24 20:39:00,"936 Church St, San Francisco, CA 94016",San Francisco,CA,300.0,Wednesday,20,2019-04-24
176585,Bose SoundSport Headphones,1,99.99,2019-04-07 11:31:00,"823 Highland St, Boston, MA 02215",Boston,MA,99.99,Sunday,11,2019-04-07
176586,AAA Batteries (4-pack),2,2.99,2019-04-10 17:00:00,"365 Center St, San Francisco, CA 94016",San Francisco,CA,5.98,Wednesday,17,2019-04-10
176586,Google Phone,1,600.0,2019-04-10 17:00:00,"365 Center St, San Francisco, CA 94016",San Francisco,CA,600.0,Wednesday,17,2019-04-10
176587,27in FHD Monitor,1,149.99,2019-04-29 19:38:00,"557 5th St, Los Angeles, CA 90001",Los Angeles,CA,149.99,Monday,19,2019-04-29
176588,20in Monitor,1,109.99,2019-04-02 04:00:00,"765 Cherry St, Seattle, WA 98101",Seattle,WA,109.99,Tuesday,4,2019-04-02
176589,Lightning Charging Cable,1,14.95,2019-04-04 12:23:00,"846 Highland St, Atlanta, GA 30301",Atlanta,GA,14.95,Thursday,12,2019-04-04
176590,Google Phone,1,600.0,2019-04-11 11:46:00,"873 6th St, New York City, NY 10001",New York City,NY,600.0,Thursday,11,2019-04-11
176591,Apple Airpods Headphones,1,150.0,2019-04-21 07:21:00,"600 Maple St, Austin, TX 73301",Austin,TX,150.0,Sunday,7,2019-04-21
176592,USB-C Charging Cable,1,11.95,2019-04-27 13:04:00,"352 4th St, Los Angeles, CA 90001",Los Angeles,CA,11.95,Saturday,13,2019-04-27
176593,Lightning Charging Cable,2,14.95,2019-04-15 13:45:00,"906 7th St, Portland, OR 97035",Portland,OR,29.9,Monday,13,2019-04-15
176594,Wired Headphones,1,11.99,2019-04-17 23:04:00,"63 Maple St, San Francisco, CA 94016",San Francisco,CA,11.99,Wednesday,23,2019-04-17
176595,Wired Headphones,3,11.99,2019-04-02 09:11:00,"383 6th St, Los Angeles, CA 90001",Los Angeles,CA,35.97,Tuesday,9,2019-04-02
176596,Apple Airpods Headphones,1,150.0,2019-04-27 20:11:00,"572 Meadow St, Dallas, TX 75001",Dallas,TX,150.0,Saturday,20,2019-04-27
176597,USB-C Charging Cable,1,11.95,2019-04-19 13:39:00,"681 11th St, San Francisco, CA 94016",San Francisco,CA,11.95,Friday,13,2019-04-19
176598,AAA Batteries (4-pack),2,2.99,2019-04-21 20:33:00,"294 Park St, San Francisco, CA 94016",San Francisco,CA,5.98,Sunday,20,2019-04-21
176599,Lightning Charging Cable,1,14.95,2019-04-11 15:25:00,"279 Maple St, New York City, NY 10001",New York City,NY,14.95,Thursday,15,2019-04-11
176600,27in 4K Gaming Monitor,1,389.99,2019-04-30 15:54:00,"87 West St, Boston, MA 02215",Boston,MA,389.99,Tuesday,15,2019-04-30
176601,USB-C Charging Cable,1,11.95,2019-04-02 22:32:00,"754 10th St, Los Angeles, CA 90001",Los Angeles,CA,11.95,Tuesday,22,2019-04-02
176602,Lightning Charging Cable,1,14.95,2019-04-30 09:39:00,"9 Jefferson St, Dallas, TX 75001",Dallas,TX,14.95,Tuesday,9,2019-04-30
176603,USB-C Charging Cable,1,11.95,2019-04-01 07:46:00,"858 6th St, San Francisco, CA 94016",San Francisco,CA,11.95,Monday,7,2019-04-01
176604,USB-C Charging Cable,1,11.95,2019-04-02 10:57:00,"462 11th St, San Francisco, CA 94016",San Francisco,CA,11.95,Tuesday,10,2019-04-02
176605,USB-C Charging Cable,1,11.95,2019-04-15 16:29:00,"717 Pine St, San Francisco, CA 94016",San Francisco,CA,11.95,Monday,16,2019-04-15
176606,LG Dryer,1,600.0,2019-04-21 14:16:00,"487 Maple St, San Francisco, CA 94016",San Francisco,CA,600.0,Sunday,14,2019-04-21
176607,AAA Batteries (4-pack),2,2.99,2019-04-18 12:11:00,"689 10th St, Boston, MA 02215",Boston,MA,5.98,Thursday,12,2019-04-18
176608,iPhone,1,700.0,2019-04-11 12:01:00,"15 Cherry St, San Francisco, CA 94016",San Francisco,CA,700.0,Thursday,12,2019-04-11
176609,Apple Airpods Headphones,1,150.0,2019-04-11 16:59:00,"267 11th St, Austin, TX 73301",Austin,TX,150.0,Thursday,16,2019-04-11
176610,AAA Batteries (4-pack),1,2.99,2019-04-26 00:40:00,"382 River St, Dallas, TX 75001",Dallas,TX,2.99,Friday,0,2019-04-26
176611,Bose SoundSport Headphones,1,99.99,2019-04-30 13:16:00,"971 Sunset St, San Francisco, CA 94016",San Francisco,CA,99.99,Tuesday,13,2019-04-30
176612,Apple Airpods Headphones,1,150.0,2019-04-04 19:48:00,"149 North St, Seattle, WA 98101",Seattle,WA,150.0,Thursday,19,2019-04-04
176613,USB-C Charging Cable,2,11.95,2019-04-26 18:58:00,"405 4th St, New York City, NY 10001",New York City,NY,23.9,Friday,18,2019-04-26
176614,AA Batteries (4-pack),1,3.84,2019-04-07 21:01:00,"647 Jackson St, San Francisco, CA 94016",San Francisco,CA,3.84,Sunday,21,2019-04-07
176615,Lightning Charging Cable,1,14.95,2019-04-30 10:35:00,"833 River St, Dallas, TX 75001",Dallas,TX,14.95,Tuesday,10,2019-04-30
176616,USB-C Charging Cable,1,11.95,2019-04-05 20:40:00,"380 Washington St, San Francisco, CA 94016",San Francisco,CA,11.95,Friday,20,2019-04-05
176617,Apple Airpods Headphones,1,150.0,2019-04-25 08:03:00,"319 8th St, Portland, OR 97035",Portland,OR,150.0,Thursday,8,2019-04-25
176618,Lightning Charging Cable,2,14.95,2019-04-18 21:44:00,"273 South St, San Francisco, CA 94016",San Francisco,CA,29.9,Thursday,21,2019-04-18
176619,Flatscreen TV,1,300.0,2019-04-16 18:37:00,"116 North St, Los Angeles, CA 90001",Los Angeles,CA,300.0,Tuesday,18,2019-04-16
176620,USB-C Charging Cable,1,11.95,2019-04-17 10:39:00,"994 Pine St, Los Angeles, CA 90001",Los Angeles,CA,11.95,Wednesday,10,2019-04-17
176621,Lightning Charging Cable,1,14.95,2019-04-11 16:09:00,"863 8th St, Boston, MA 02215",Boston,MA,14.95,Thursday,16,2019-04-11
176622,AA Batteries (4-pack),1,3.84,2019-04-11 20:16:00,"983 11th St, San Francisco, CA 94016",San Francisco,CA,3.84,Thursday,20,2019-04-11
176623,27in FHD Monitor,1,149.99,2019-04-20 23:51:00,"807 12th St, Atlanta, GA 30301",Atlanta,GA,149.99,Saturday,23,2019-04-20
176624,AA Batteries (4-pack),1,3.84,2019-04-28 10:44:00,"664 Church St, Seattle, WA 98101",Seattle,WA,3.84,Sunday,10,2019-04-28
176625,AAA Batteries (4-pack),2,2.99,2019-04-24 19:00:00,"858 5th St, San Francisco, CA 94016",San Francisco,CA,5.98,Wednesday,19,2019-04-24
176626,Bose SoundSport Headphones,1,99.99,2019-04-01 21:40:00,"491 Chestnut St, Boston, MA 02215",Boston,MA,99.99,Monday,21,2019-04-01
176627,Wired Headphones,1,11.99,2019-04-21 14:57:00,"994 13th St, Atlanta, GA 30301",Atlanta,GA,11.99,Sunday,14,2019-04-21
176628,Lightning Charging Cable,2,14.95,2019-04-15 04:03:00,"628 Wilson St, Dallas, TX 75001",Dallas,TX,29.9,Monday,4,2019-04-15
176629,USB-C Charging Cable,1,11.95,2019-04-24 11:56:00,"101 Lincoln St, San Francisco, CA 94016",San Francisco,CA,11.95,Wednesday,11,2019-04-24
176630,Google Phone,1,600.0,2019-04-10 05:01:00,"770 Maple St, San Francisco, CA 94016",San Francisco,CA,600.0,Wednesday,5,2019-04-10
176631,USB-C Charging Cable,1,11.95,2019-04-13 18:48:00,"292 Dogwood St, San Francisco, CA 94016",San Francisco,CA,11.95,Saturday,18,2019-04-13
176632,AAA Batteries (4-pack),1,2.99,2019-04-14 14:28:00,"814 Madison St, San Francisco, CA 94016",San Francisco,CA,2.99,Sunday,14,2019-04-14
176633,ThinkPad Laptop,1,999.99,2019-04-23 14:03:00,"863 Hickory St, Los Angeles, CA 90001",Los Angeles,CA,999.99,Tuesday,14,2019-04-23
176634,Lightning Charging Cable,1,14.95,2019-04-10 08:00:00,"311 Madison St, Atlanta, GA 30301",Atlanta,GA,14.95,Wednesday,8,2019-04-10
176635,Vareebadd Phone,1,400.0,2019-04-26 09:55:00,"85 North St, San Francisco, CA 94016",San Francisco,CA,400.0,Friday,9,2019-04-26
176636,AA Batteries (4-pack),1,3.84,2019-04-30 20:37:00,"140 10th St, Boston, MA 02215",Boston,MA,3.84,Tuesday,20,2019-04-30
176637,AAA Batteries (4-pack),1,2.99,2019-04-17 10:03:00,"261 Sunset St, New York City, NY 10001",New York City,NY,2.99,Wednesday,10,2019-04-17
176638,USB-C Charging Cable,1,11.95,2019-04-20 08:33:00,"869 Cherry St, Boston, MA 02215",Boston,MA,11.95,Saturday,8,2019-04-20
176639,Macbook Pro Laptop,1,1700.0,2019-04-28 16:14:00,"853 Cedar St, San Francisco, CA 94016",San Francisco,CA,1700.0,Sunday,16,2019-04-28
176640,Wired Headphones,2,11.99,2019-04-27 22:54:00,"164 Lake St, San Francisco, CA 94016",San Francisco,CA,23.98,Saturday,22,2019-04-27
176641,Lightning Charging Cable,1,14.95,2019-04-25 21:36:00,"655 Sunset St, Boston, MA 02215",Boston,MA,14.95,Thursday,21,2019-04-25
176642,AA Batteries (4-pack),1,3.84,2019-04-17 18:38:00,"72 Elm St, Portland, OR 97035",Portland,OR,3.84,Wednesday,18,2019-04-17
176643,Macbook Pro Laptop,1,1700.0,2019-04-27 21:32:00,"373 Adams St, Boston, MA 02215",Boston,MA,1700.0,Saturday,21,2019-04-27
176644,USB-C Charging Cable,1,11.95,2019-04-23 02:09:00,"962 7th St, Los Angeles, CA 90001",Los Angeles,CA,11.95,Tuesday,2,2019-04-23
176645,AAA Batteries (4-pack),3,2.99,2019-04-26 18:38:00,"514 Lake St, Dallas, TX 75001",Dallas,TX,8.97,Friday,18,2019-04-26
176646,Macbook Pro Laptop,1,1700.0,2019-04-22 07:14:00,"657 Adams St, Portland, OR 97035",Portland,OR,1700.0,Monday,7,2019-04-22
176647,Google Phone,1,600.0,2019-04-21 19:40:00,"273 South St, Los Angeles, CA 90001",Los Angeles,CA,600.0,Sunday,19,2019-04-21
176648,27in FHD Monitor,1,149.99,2019-04-24 01:17:00,"732 2nd St, Portland, OR 97035",Portland,OR,149.99,Wednesday,1,2019-04-24
176649,USB-C Charging Cable,1,11.95,2019-04-09 08:49:00,"702 11th St, San Francisco, CA 94016",San Francisco,CA,11.95,Tuesday,8,2019-04-09
176650,Lightning Charging Cable,1,14.95,2019-04-12 16:47:00,"153 River St, Boston, MA 02215",Boston,MA,14.95,Friday,16,2019-04-12
176651,iPhone,1,700.0,2019-04-07 13:14:00,"997 South St, Boston, MA 02215",Boston,MA,700.0,Sunday,13,2019-04-07
176652,LG Washing Machine,1,600.0,2019-04-09 20:04:00,"502 14th St, New York City, NY 10001",New York City,NY,600.0,Tuesday,20,2019-04-09
176653,AA Batteries (4-pack),1,3.84,2019-04-26 19:20:00,"285 Chestnut St, San Francisco, CA 94016",San Francisco,CA,3.84,Friday,19,2019-04-26
176654,USB-C Charging Cable,1,11.95,2019-04-15 19:35:00,"880 Lakeview St, Seattle, WA 98101",Seattle,WA,11.95,Monday,19,2019-04-15
176655,Apple Airpods Headphones,1,150.0,2019-04-11 19:36:00,"848 Center St, San Francisco, CA 94016",San Francisco,CA,150.0,Thursday,19,2019-04-11
176656,Google Phone,1,600.0,2019-04-12 16:42:00,"12 Lakeview St, New York City, NY 10001",New York City,NY,600.0,Friday,16,2019-04-12
176657,ThinkPad Laptop,1,999.99,2019-04-23 10:16:00,"774 Forest St, Los Angeles, CA 90001",Los Angeles,CA,999.99,Tuesday,10,2019-04-23
176658,AAA Batteries (4-pack),2,2.99,2019-04-22 08:51:00,"573 Pine St, San Francisco, CA 94016",San Francisco,CA,5.98,Monday,8,2019-04-22
176659,20in Monitor,1,109.99,2019-04-29 14:40:00,"804 Church St, Dallas, TX 75001",Dallas,TX,109.99,Monday,14,2019-04-29
176660,AA Batteries (4-pack),1,3.84,2019-04-16 17:10:00,"267 West St, Boston, MA 02215",Boston,MA,3.84,Tuesday,17,2019-04-16
176661,Wired Headphones,1,11.99,2019-04-25 20:40:00,"522 6th St, Atlanta, GA 30301",Atlanta,GA,11.99,Thursday,20,2019-04-25
176662,34in Ultrawide Monitor,1,379.99,2019-04-05 12:46:00,"678 Hickory St, Portland, OR 97035",Portland,OR,379.99,Friday,12,2019-04-05
176663,Bose SoundSport Headphones,1,99.99,2019-04-05 11:48:00,"450 Johnson St, Seattle, WA 98101",Seattle,WA,99.99,Friday,11,2019-04-05
176664,AAA Batteries (4-pack),1,2.99,2019-04-13 18:59:00,"544 Madison St, Los Angeles, CA 90001",Los Angeles,CA,2.99,Saturday,18,2019-04-13
176665,ThinkPad Laptop,1,999.99,2019-04-07 14:15:00,"927 13th St, Dallas, TX 75001",Dallas,TX,999.99,Sunday,14,2019-04-07
176666,Wired Headphones,1,11.99,2019-04-08 16:50:00,"382 Forest St, Seattle, WA 98101",Seattle,WA,11.99,Monday,16,2019-04-08
176667,27in 4K Gaming Monitor,1,389.99,2019-04-11 00:39:00,"92 11th St, Los Angeles, CA 90001",Los Angeles,CA,389.99,Thursday,0,2019-04-11
176668,AA Batteries (4-pack),1,3.84,2019-04-15 20:46:00,"56 2nd St, Dallas, TX 75001",Dallas,TX,3.84,Monday,20,2019-04-15
176669,27in FHD Monitor,1,149.99,2019-04-08 12:57:00,"506 Jackson St, Dallas, TX 75001",Dallas,TX,149.99,Monday,12,2019-04-08
176670,Apple Airpods Headphones,1,150.0,2019-04-25 21:23:00,"892 Willow St, San Francisco, CA 94016",San Francisco,CA,150.0,Thursday,21,2019-04-25
176671,AAA Batteries (4-pack),2,2.99,2019-04-23 16:31:00,"738 Jefferson St, New York City, NY 10001",New York City,NY,5.98,Tuesday,16,2019-04-23
176672,Lightning Charging Cable,1,14.95,2019-04-12 11:07:00,"778 Maple St, New York City, NY 10001",New York City,NY,14.95,Friday,11,2019-04-12
176672,USB-C Charging Cable,1,11.95,2019-04-12 11:07:00,"778 Maple St, New York City, NY 10001",New York City,NY,11.95,Friday,11,2019-04-12
176673,20in Monitor,1,109.99,2019-04-10 08:17:00,"952 1st St, Boston, MA 02215",Boston,MA,109.99,Wednesday,8,2019-04-10
176674,AAA Batteries (4-pack),3,2.99,2019-04-20 20:53:00,"907 West St, Austin, TX 73301",Austin,TX,8.97,Saturday,20,2019-04-20
176675,AAA Batteries (4-pack),1,2.99,2019-04-02 09:02:00,"933 Meadow St, Seattle, WA 98101",Seattle,WA,2.99,Tuesday,9,2019-04-02
176676,LG Dryer,1,600.0,2019-04-09 00:35:00,"788 Lincoln St, Los Angeles, CA 90001",Los Angeles,CA,600.0,Tuesday,0,2019-04-09
176677,34in Ultrawide Monitor,1,379.99,2019-04-01 11:50:00,"661 Washington St, Austin, TX 73301",Austin,TX,379.99,Monday,11,2019-04-01
176678,AA Batteries (4-pack),2,3.84,2019-04-19 22:12:00,"345 Sunset St, San Francisco, CA 94016",San Francisco,CA,7.68,Friday,22,2019-04-19
176679,Apple Airpods Headphones,1,150.0,2019-04-16 11:12:00,"245 West St, Boston, MA 02215",Boston,MA,150.0,Tuesday,11,2019-04-16
176680,USB-C Charging Cable,1,11.95,2019-04-13 11:28:00,"368 Main St, Los Angeles, CA 90001",Los Angeles,CA,11.95,Saturday,11,2019-04-13
176681,Apple Airpods Headphones,1,150.0,2019-04-20 10:39:00,"331 Cherry St, Seattle, WA 98101",Seattle,WA,150.0,Saturday,10,2019-04-20
176681,ThinkPad Laptop,1,999.99,2019-04-20 10:39:00,"331 Cherry St, Seattle, WA 98101",Seattle,WA,999.99,Saturday,10,2019-04-20
176682,Lightning Charging Cable,1,14.95,2019-04-27 06:19:00,"593 Adams St, Boston, MA 02215",Boston,MA,14.95,Saturday,6,2019-04-27
176683,AA Batteries (4-pack),1,3.84,2019-04-03 13:54:00,"253 Willow St, Los Angeles, CA 90001",Los Angeles,CA,3.84,Wednesday,13,2019-04-03
176684,USB-C Charging Cable,1,11.95,2019-04-17 00:51:00,"293 Washington St, Los Angeles, CA 90001",Los Angeles,CA,11.95,Wednesday,0,2019-04-17
176685,34in Ultrawide Monitor,1,379.99,2019-04-23 22:53:00,"114 10th St, New York City, NY 10001",New York City,NY,379.99,Tuesday,22,2019-04-23
176686,Wired Headphones,1,11.99,2019-04-17 15:17:00,"892 10th St, Austin, TX 73301",Austin,TX,11.99,Wednesday,15,2019-04-17
176687,Macbook Pro Laptop,1,1700.0,2019-04-30 10:26:00,"121 Wilson St, Los Angeles, CA 90001",Los Angeles,CA,1700.0,Tuesday,10,2019-04-30
176688,Flatscreen TV,1,300.0,2019-04-20 18:25:00,"229 Church St, San Francisco, CA 94016",San Francisco,CA,300.0,Saturday,18,2019-04-20
176689,Bose SoundSport Headphones,1,99.99,2019-04-24 17:15:00,"659 Lincoln St, New York City, NY 10001",New York City,NY,99.99,Wednesday,17,2019-04-24
176689,AAA Batteries (4-pack),2,2.99,2019-04-24 17:15:00,"659 Lincoln St, New York City, NY 10001",New York City,NY,5.98,Wednesday,17,2019-04-24
176690,20in Monitor,1,109.99,2019-04-04 18:33:00,"873 Sunset St, San Francisco, CA 94016",San Francisco,CA,109.99,Thursday,18,2019-04-04
176691,AAA Batteries (4-pack),1,2.99,2019-04-12 11:57:00,"991 Lincoln St, Los Angeles, CA 90001",Los Angeles,CA,2.99,Friday,11,2019-04-12
176692,Wired Headphones,1,11.99,2019-04-08 18:21:00,"290 Forest St, San Francisco, CA 94016",San Francisco,CA,11.99,Monday,18,2019-04-08
176693,AA Batteries (4-pack),1,3.84,2019-04-22 09:00:00,"252 Walnut St, San Francisco, CA 94016",San Francisco,CA,3.84,Monday,9,2019-04-22
176694,USB-C Charging Cable,1,11.95,2019-04-05 20:46:00,"985 Washington St, Atlanta, GA 30301",Atlanta,GA,11.95,Friday,20,2019-04-05
176695,AA Batteries (4-pack),2,3.84,2019-04-12 20:50:00,"709 Lake St, Seattle, WA 98101",Seattle,WA,7.68,Friday,20,2019-04-12
176696,iPhone,1,700.0,2019-04-07 12:41:00,"343 Johnson St, New York City, NY 10001",New York City,NY,700.0,Sunday,12,2019-04-07
176697,Wired Headphones,1,11.99,2019-04-20 22:38:00,"675 Center St, New York City, NY 10001",New York City,NY,11.99,Saturday,22,2019-04-20
176698,Bose SoundSport Headphones,1,99.99,2019-04-02 16:15:00,"232 Lakeview St, San Francisco, CA 94016",San Francisco,CA,99.99,Tuesday,16,2019-04-02
176699,Bose SoundSport Headphones,1,99.99,2019-04-28 18:04:00,"49 Jefferson St, Boston, MA 02215",Boston,MA,99.99,Sunday,18,2019-04-28
176700,34in Ultrawide Monitor,1,379.99,2019-04-07 23:10:00,"967 Walnut St, Dallas, TX 75001",Dallas,TX,379.99,Sunday,23,2019-04-07
176701,USB-C Charging Cable,1,11.95,2019-04-11 13:05:00,"128 Church St, Austin, TX 73301",Austin,TX,11.95,Thursday,13,2019-04-11
176702,AA Batteries (4-pack),1,3.84,2019-04-23 19:44:00,"896 Sunset St, Seattle, WA 98101",Seattle,WA,3.84,Tuesday,19,2019-04-23
176703,20in Monitor,1,109.99,2019-04-17 10:00:00,"748 Washington St, New York City, NY 10001",New York City,NY,109.99,Wednesday,10,2019-04-17
176704,AA Batteries (4-pack),2,3.84,2019-04-17 10:00:00,"909 Center St, Seattle, WA 98101",Seattle,WA,7.68,Wednesday,10,2019-04-17
176705,Lightning Charging Cable,2,14.95,2019-04-06 09:38:00,"503 8th St, Austin, TX 73301",Austin,TX,29.9,Saturday,9,2019-04-06
176706,Lightning Charging Cable,1,14.95,2019-04-13 13:32:00,"309 South St, New York City, NY 10001",New York City,NY,14.95,Saturday,13,2019-04-13
176707,Apple Airpods Headphones,1,150.0,2019-04-13 10:34:00,"408 Center St, Portland, OR 97035",Portland,OR,150.0,Saturday,10,2019-04-13
176708,Wired Headphones,1,11.99,2019-04-28 23:03:00,"542 Ridge St, New York City, NY 10001",New York City,NY,11.99,Sunday,23,2019-04-28
176709,AA Batteries (4-pack),1,3.84,2019-04-24 14:17:00,"971 Church St, Dallas, TX 75001",Dallas,TX,3.84,Wednesday,14,2019-04-24
176710,20in Monitor,2,109.99,2019-04-07 10:00:00,"848 West St, Dallas, TX 75001",Dallas,TX,219.98,Sunday,10,2019-04-07
176711,Flatscreen TV,1,300.0,2019-04-30 10:58:00,"796 River St, Dallas, TX 75001",Dallas,TX,300.0,Tuesday,10,2019-04-30
176712,Google Phone,1,600.0,2019-04-20 05:21:00,"910 Washington St, San Francisco, CA 94016",San Francisco,CA,600.0,Saturday,5,2019-04-20
176713,Wired Headphones,1,11.99,2019-04-21 10:48:00,"498 Walnut St, San Francisco, CA 94016",San Francisco,CA,11.99,Sunday,10,2019-04-21
176714,USB-C Charging Cable,1,11.95,2019-04-26 23:34:00,"303 Spruce St, Los Angeles, CA 90001",Los Angeles,CA,11.95,Friday,23,2019-04-26
176715,Apple Airpods Headphones,1,150.0,2019-04-27 16:43:00,"258 Jefferson St, San Francisco, CA 94016",San Francisco,CA,150.0,Saturday,16,2019-04-27
176716,Wired Headphones,1,11.99,2019-04-24 14:43:00,"794 7th St, Los Angeles, CA 90001",Los Angeles,CA,11.99,Wednesday,14,2019-04-24
176717,Apple Airpods Headphones,1,150.0,2019-04-19 10:34:00,"490 Lakeview St, Atlanta, GA 30301",Atlanta,GA,150.0,Friday,10,2019-04-19
176718,Lightning Charging Cable,1,14.95,2019-04-22 19:14:00,"672 Sunset St, Los Angeles, CA 90001",Los Angeles,CA,14.95,Monday,19,2019-04-22
176719,Flatscreen TV,1,300.0,2019-04-27 13:07:00,"602 Hickory St, Boston, MA 02215",Boston,MA,300.0,Saturday,13,2019-04-27
176720,Lightning Charging Cable,1,14.95,2019-04-21 10:35:00,"556 South St, Portland, OR 97035",Portland,OR,14.95,Sunday,10,2019-04-21
176721,AAA Batteries (4-pack),1,2.99,2019-04-26 21:08:00,"469 7th St, San Francisco, CA 94016",San Francisco,CA,2.99,Friday,21,2019-04-26
176722,27in 4K Gaming Monitor,1,389.99,2019-04-01 10:57:00,"209 14th St, New York City, NY 10001",New York City,NY,389.99,Monday,10,2019-04-01
176723,27in 4K Gaming Monitor,1,389.99,2019-04-19 21:31:00,"613 12th St, Portland, OR 97035",Portland,OR,389.99,Friday,21,2019-04-19
176724,Lightning Charging Cable,1,14.95,2019-04-26 20:59:00,"34 12th St, San Francisco, CA 94016",San Francisco,CA,14.95,Friday,20,2019-04-26
176725,AA Batteries (4-pack),2,3.84,2019-04-15 14:33:00,"630 14th St, San Francisco, CA 94016",San Francisco,CA,7.68,Monday,14,2019-04-15
176726,USB-C Charging Cable,1,11.95,2019-04-13 18:14:00,"979 8th St, Los Angeles, CA 90001",Los Angeles,CA,11.95,Saturday,18,2019-04-13
176727,Lightning Charging Cable,1,14.95,2019-04-14 14:26:00,"218 Hickory St, Los Angeles, CA 90001",Los Angeles,CA,14.95,Sunday,14,2019-04-14
176728,Lightning Charging Cable,1,14.95,2019-04-21 07:38:00,"516 Park St, Atlanta, GA 30301",Atlanta,GA,14.95,Sunday,7,2019-04-21
